ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Advanced Economies,,AETMP,Carbon stocks in forests,Million tonnes,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,52618.6601,53177.6998,53393.5688,53609.4382,53825.3073,54041.1769,54257.0465,54472.9153,54755.4274,54931.2242,55107.0214,55282.8181,55458.6155,55634.4123,55562.6288,55727.5842,55892.5399,56057.4956,56222.4507,56445.5501,56668.6489,56891.748,57114.8466,57337.9461,57568.1744,57777.8499,57959.7625,58035.0513,58102.5521
2,Advanced Economies,,AETMP,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,945840.6089,950628.7545,950883.6399,951138.5255,951393.4111,951648.2965,951903.1821,952158.0675,953166.9531,953722.117,954277.2811,954832.4451,955387.6092,955942.7732,953139.5372,953649.3013,954159.0653,954668.8294,955178.5934,956338.5036,957498.4138,958658.324,959818.2342,960978.1444,962013.8455,961845.12,961963.71,962100.59,962252.19
3,Advanced Economies,,AETMP,Index of carbon stocks in forests,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,101.0624362,101.472688,101.8829406,102.2931926,102.7034455,103.1136984,103.5239499,104.0608546,104.3949506,104.7290473,105.063143,105.3972401,105.731336,105.5949138,105.9084061,106.2218988,106.5353916,106.8488833,107.2728762,107.696868,108.1208603,108.5448518,108.9688449,109.406386,109.8048673,110.1505861,110.2936699,110.421953
4,Advanced Economies,,AETMP,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,100.5062318,100.5331798,100.5601278,100.5870759,100.6140239,100.640972,100.66792,100.7745855,100.8332808,100.8919761,100.9506714,101.0093667,101.068062,100.7716869,100.8255823,100.8794776,100.933373,100.9872683,101.109901,101.2325338,101.3551665,101.4777992,101.600432,101.7099326,101.6920939,101.7046319,101.7191037,101.7351318
5,Advanced Economies,,AETMP,Land area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,2986568.57,2999104.57,2999103.57,2999102.57,2999091.47,2999087.37,2999084.27,2999080.17,3002819.416,3002842.316,3002843.716,3002871.816,3002837.916,3002838.716,2992589.116,2992586.116,2991119.736,2991120.696,2991130.036,2991125.816,2991135.986,2991273.112,2991270.916,2991273.243,2992294.086,2992223.723,2992281.153,2992285.698,2992205.595
6,Advanced Economies,,AETMP,Share of forest area,Percent,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,31.66981058,31.69708599,31.70559528,31.71410458,31.72272072,31.73126285,31.73979443,31.74833661,31.74240009,31.76064597,31.77911911,31.7973095,31.81615645,31.83463594,31.84999678,31.86706295,31.89972818,31.91676052,31.93370338,31.97252682,32.01119636,32.04850537,32.0873054,32.12605691,32.14970915,32.14482636,32.14817261,32.15269821,32.15862545
7,"Afghanistan, Islamic Rep. of",AF,AFG,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44
8,"Afghanistan, Islamic Rep. of",AF,AFG,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,"Afghanistan, Islamic Rep. of",AF,AFG,Land area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223
10,"Afghanistan, Islamic Rep. of",AF,AFG,Share of forest area,Percent,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994
