ISO3,Country/Region,unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CHN,China,MtCO2e,3039.78,3168.74,3398.46,3558.02,3961.46,3982.98,3978.52,4096.86,4029.26,4221.71,4430.46,4723.4,5395.93,6161.01,6934.07,7612.85,8221.63,8477.05,9051.17,9882.38,10382.27,10667.19,11154.26,11233.38,11097.28,11126.01,11366.6,11877.1,12085.05,12295.62
USA,United States,MtCO2e,5403.58,5487.86,5599.07,5693.42,5761.9,5933.25,6193.38,6241.11,6242.51,6405.57,6368.37,6215.68,6279.82,6362.59,6382.16,6293.17,6397.65,6211.3,5793.39,6063.3,5847.39,5628.8,5769.63,5816.48,5705.12,5783,5728.79,5935.52,5819.48,5289.13
IND,India,MtCO2e,1074.57,1099.48,1132.63,1177.9,1244.34,1293.39,1353.6,1383.29,1461.25,1499,1747.32,1766.72,1811.43,1901.54,1973.19,2071.63,2218.68,2318,2471.7,2581.25,2619.73,2776.41,2840.44,3022.2,3041.47,3116.76,3241.44,3406.53,3380.31,3166.95
RUS,Russia,MtCO2e,2563.84,2404.96,2212.92,1977.72,1900.65,1858.96,1709.36,1712.17,1742.9,1797.28,1407.98,1410.52,1484.98,1480.39,1501.7,1541.34,1548.17,1556.86,1419.12,1509.01,1681.7,1659.67,1618.57,1607.17,1587.48,1717.74,1750.27,1843.24,1889.93,1799.98
IDN,Indonesia,MtCO2e,1161.96,1183.03,1199.29,1220.81,1257.55,1101.48,2072.21,1304.17,1196.77,1128.24,957.49,1440.37,1107.33,1459.03,1187.32,1610.81,1051.98,1037.5,1434.93,1082.12,1641.84,1661.05,1597.66,1973.8,2022.03,1384.26,1395.33,1641.42,1913.58,1475.83
BRA,Brazil,MtCO2e,1664.23,1674.22,1685.63,1702.5,1729.29,1732.8,1764.52,1800.27,1811.5,1813.94,1904,1941.57,1955.42,2002.36,2016.91,2006.99,2044.52,2045.15,2017.82,2122.88,1286.3,1330.37,1354.14,1395.95,1379.88,1464.26,1486.01,1443.29,1467.48,1469.64
JPN,Japan,MtCO2e,1121.91,1135,1128.35,1186.05,1201.39,1216.18,1204.18,1157.8,1187.78,1202.66,1158.68,1189.07,1195.78,1185.71,1192.22,1171.67,1206.97,1137.15,1079.49,1136.98,1243.62,1287.06,1302.82,1255.98,1219.3,1226.53,1209.79,1166.41,1125.76,1062.78
IRN,Iran,MtCO2e,327.85,349.66,356.78,388.04,397.63,412.83,430.44,432.02,467.33,494.69,484.25,498.19,533.84,568.98,608.37,649.41,681.68,688.19,709.29,711.86,765.9,765.33,786.88,812.67,812.28,849.42,879.04,891.76,856.71,844.71
CAN,Canada,MtCO2e,622.67,637.06,633.07,651.17,666.72,688.72,700.45,716.81,716.09,733.98,959.65,980.74,1002.7,999.55,1013.23,1002.12,1035.59,1011.07,976.14,993.17,843.7,844.21,856.35,864.27,863.46,763.06,779.98,798.87,781.78,731.54
SAU,Saudi Arabia,MtCO2e,272.53,290.13,287.76,287.33,286.2,301.64,307.8,323.98,328.28,344.72,348.57,366.46,387.52,404.87,425.13,447.64,467.56,507.31,519.92,564.85,596.45,632.99,649.1,692.68,726.21,734.31,728.09,715.86,720.67,712.59
COD,Democratic Republic of the Congo,MtCO2e,434.95,435.07,436.55,438.07,438.11,428.94,435.61,437.49,429.59,425.82,421.45,435.56,443.92,447.32,447.72,450.46,442.6,447.28,446.76,450.03,683.91,679.82,683.93,684.35,687.14,687.28,688.95,682.44,686.72,688.06
DEU,Germany,MtCO2e,1069.65,1024.26,1015.75,1006.17,1001.83,1031.85,994.71,971.83,933.74,926.16,977.91,961.7,962.78,946.12,924.16,932.95,904.52,907.34,850.86,881.31,840.75,853.95,870.32,829.47,834.14,836.97,819.67,791,740.08,681.18
KOR,South Korea,MtCO2e,266.42,291.85,323.52,351.76,384.7,412.8,438.7,373.45,411.34,459.88,453.54,458.96,466.96,492.62,487.96,496.26,506.15,519.03,532.97,584.93,618.62,622.01,622.42,611.96,632.92,647.92,661.65,668.67,653.38,613.54
MEX,Mexico,MtCO2e,453.72,456.7,474.12,500.82,480.09,499.27,523.23,556.56,540.36,567.4,474.84,485.25,512.07,519.4,543.34,563.12,574.42,578.16,567.53,584.34,688.09,693.4,680.12,673.09,689.34,698.62,696.29,666.45,676.87,609.07
AUS,Australia,MtCO2e,546.09,547,549.18,554.99,563.36,565.06,575.67,602.25,642.23,660.97,667.51,664.29,587.87,639.4,601.49,649.29,649.59,620.49,638.23,619.73,661.98,662.98,578.02,594.51,594.35,604.94,651.17,646.62,636.3,585.42
ZAF,South Africa,MtCO2e,330.79,327.12,337.39,344.1,356.75,368.08,383.79,392.44,372.12,375.8,409.28,424.51,448.13,476.47,476.78,479.36,500.72,533.78,512.17,535.19,519.26,539.32,549.29,561.56,537.03,537.69,551.25,555.29,562.29,508.38
TUR,Türkiye,MtCO2e,190.96,198.45,204.74,199.9,214.4,232.11,241.1,242.32,242.2,266.14,218.22,228.49,239.99,246,258.46,287.68,317.29,314.44,317.97,328.18,334.29,349.84,340.7,366.06,374.19,432.16,474.47,474.88,462.83,476.34
VNM,Vietnam,MtCO2e,4.41,7,12.29,17.18,24.73,32.45,40.02,51.5,55.58,63.11,157.44,173.32,178.59,198.32,207.44,211.11,225.07,234.52,256.94,275.5,238.68,240.34,254.97,269.15,290.84,321.21,329.08,386.71,441.96,458.14
THA,Thailand,MtCO2e,183.75,196.29,214.12,229.28,247.72,268.19,277.84,258.7,269.96,270.14,236.24,249.35,259.74,282.61,289.7,293.1,310.28,311.37,308.14,330.2,362.41,386.48,395.7,393.21,396.51,422.51,430.74,432.77,449.47,451.42
