ObjectId,Country,ISO2,ISO3,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,"Afghanistan, Islamic Rep. of",AF,AFG,6.856309241,-4.76040298,2.300154313,-5.809751222,-5.345671155,-6.017947145,1.262948262,-1.522892426,4.38537852,6.658474216,-6.056370308,-7.985272055,6.922325248,-5.992830768,6.177502223,-4.907047274,0.377746823,-0.396659325,-1.127702555,-2.962329606,1.599509605,8.730227247,-5.825248879,5.052643465,-4.546457261,1.51628462,-1.674129945,8.056560765,9.079395251,-5.061129082,-4.105032473,-9.690475509,4.217290344,-9.481031938,6.250869165,-0.477859392,-4.228686868,-7.767771386,-8.831833251,-4.033966781,-0.200183213,1.624217108,-1.821351231,7.01296886,4.271182862,-4.275638007,4.558511359,8.369906006,6.481321028,-1.06778525,7.977952114,3.057860773,-0.043806188,-8.110677893,-4.938349495,4.72685039,-5.333125754,-4.284876168,-3.186853849,-5.103493424,-9.784358109,-2.66674683
2,Albania,AL,ALB,-5.649053983,-7.696648415,7.066596117,0.617461077,4.898418316,-9.260593558,-1.1677691,7.416315544,-1.936481483,-4.947732053,-3.920868537,6.334895171,-8.876254433,4.139005786,2.734532605,-2.921526624,4.368067174,-0.407172923,7.893888999,4.035375017,3.409434196,-5.618407203,1.675462459,8.242963127,6.56520842,-1.151290378,-0.728588541,3.808083461,-1.733945505,-7.792324615,2.396397323,-5.33216641,-3.091358139,7.373431895,-7.686770909,4.701808556,-2.456742852,-8.313159335,-8.688712013,-6.822990463,-3.293293588,-5.612309354,6.20621359,-6.959224765,-8.122512716,4.698915819,7.756696463,9.560720304,-5.853967244,6.89716373,4.648281231,-3.827289579,-9.93992618,3.114150621,-7.696592095,6.306559665,9.824589924,5.001029085,3.059399489,-3.223122339,-0.242018588,-1.615662663
3,Algeria,DZ,DZA,-9.483947861,-1.710457657,0.871625756,-0.298710445,-0.325765362,8.960981305,1.718664342,2.212690434,8.597775361,4.950246751,8.791907898,-5.572325316,5.880547335,8.397716752,-2.154436073,2.416600793,0.616086951,-9.575912578,3.181740225,4.502074734,5.021322946,-1.186091653,6.592939662,-3.947500976,1.495767859,4.638666149,9.049259702,-0.268432651,2.963906709,6.51356739,7.562772059,0.862458166,4.32412311,3.338834249,3.823222863,-2.839550001,-3.059412779,1.996335842,9.230925926,-1.450492584,2.368357073,-5.156431512,7.947189275,-0.001776077,5.416874029,-0.184130881,7.100015466,3.899614324,1.648247956,-6.302585652,-4.316684265,9.686942399,2.177614048,6.774656116,2.811156466,7.768780175,6.806464733,-0.751923848,-4.596309364,-0.316088803,-8.773122451,5.371778498
4,American Samoa,AS,ASM,-3.455076707,-5.084695455,-5.678492282,-4.506248722,-3.928316529,-6.126668994,-6.157655946,8.037405409,-2.668090148,4.693382917,9.638954708,6.479779497,9.169551662,3.095224094,1.381078961,1.777948293,8.439255885,1.812001587,6.237649565,-8.713834264,-8.985771126,-8.811923462,-5.774090384,-7.331501487,-7.08089981,-5.027444698,8.056953758,7.01046082,2.864506215,5.637345807,5.801687713,2.490151206,-7.936703514,9.063141043,-1.8249215,6.397932984,9.495612282,-8.970376514,7.399421606,-1.191367128,-6.669824197,2.479804475,9.251548791,5.531308128,-6.068050143,-1.174747903,1.634698222,3.496224358,-8.856939667,-5.615193986,-6.021360585,7.953451591,6.36764669,5.68361922,8.082581787,0.582788573,-1.509636574,1.702183991,8.826622794,-0.05291048,2.342739653,1.631833718
5,"Andorra, Principality of",AD,AND,3.982454975,6.616520338,7.336208324,-0.772797084,4.085902869,-5.64932046,9.630220008,9.420425525,9.751512103,1.192227781,-4.919487993,3.174225915,-0.527962285,-7.612894168,5.139237875,-2.873631709,9.395385492,-3.138188557,8.459677111,-7.561110641,4.688913713,-6.977878822,3.87413398,2.889550292,-0.18750459,-6.556043527,9.507353828,-7.834020483,2.306431889,9.092023889,4.158821427,-7.078361812,-6.219295105,-0.333425249,-1.791766403,-3.409471192,6.822824032,-7.880763714,-2.826929439,8.838353725,-5.74578313,-9.27556337,4.8648805,-2.667420621,-3.085339914,3.441252668,7.790931953,6.936786218,-4.427065603,2.051530577,0.132756775,-3.747937359,2.773210089,6.221367173,-0.888935794,4.586460209,-0.295236248,8.163501237,-1.384732828,-7.769644851,-7.98185677,-8.712405746
6,Angola,AO,AGO,3.830138823,2.370750472,9.54183007,-1.406746894,3.346789228,3.052618926,6.815604199,6.103247979,9.017229362,-7.264690467,-1.35939263,8.699698297,7.348948719,3.92599518,-6.138409461,2.626316994,-4.29429559,4.013647096,-0.891179173,-5.493072637,-3.984490257,0.362529098,-2.433333757,-7.608754817,-6.848418242,4.122873359,0.825407304,-7.251068312,9.753711135,9.437758961,-6.494598819,-2.954551478,-9.588762552,6.448116571,8.135665451,-8.45618651,6.345762636,-8.514284564,-3.183141716,8.466531168,0.850615234,-6.567819681,2.783406509,5.009079223,4.177738048,-4.48480355,-1.087007228,0.060474346,-1.870254555,1.211814153,5.049644501,0.136761125,5.405044893,-3.933966495,-7.775554108,-4.668511335,5.861495098,7.187360976,-1.036916341,-5.399751705,-9.705623827,7.540860808
7,Anguilla,AI,AIA,-8.611094727,0.357485614,2.854640562,6.255163266,4.341321807,-9.789152245,-2.997409135,-9.934304666,7.369323442,-9.894364464,-8.852361281,1.573735365,0.709084271,8.67076188,7.050335237,1.783115375,-9.654629836,4.296409576,8.433989054,5.770417965,-6.722693946,5.163450165,-3.008905203,7.715145251,0.750687323,3.902789613,-0.626206375,9.189909808,-1.888005483,-8.701609203,-6.280865848,-3.903485671,-0.265133389,1.411399822,-8.651188965,-9.512484596,-2.812933648,7.65485644,-8.506830586,6.860198705,3.309721164,-3.913463996,-4.547728332,-8.185178808,-6.010565588,-9.155066304,-3.143815706,-0.229030065,-6.030035853,3.851534439,-6.682909581,8.129160296,6.241123235,-6.980691212,-0.992087744,-2.909878554,3.619256782,-2.258853635,-2.239495657,-0.216801848,-4.463007676,-6.329971589
8,Antigua and Barbuda,AG,ATG,3.931189333,-0.673098489,-2.01902759,7.409941883,6.443282272,0.574652756,4.308252367,8.998382445,-6.067993358,8.586703072,-2.824165527,1.071759042,8.440180341,-5.934964345,-4.016529894,0.463700325,8.49765818,3.736481288,4.915865619,6.906772507,-9.557362675,9.653864078,5.747629332,1.642383643,4.724665065,-9.498967586,-5.854242633,-2.566754085,4.195365793,4.588432486,-9.799141582,8.388526833,-0.130168568,6.325000867,-2.675363865,9.037548366,-4.218845932,6.620304592,-2.819991279,-0.793809229,9.522376774,4.183170022,-2.067005945,-6.705331624,-1.903648399,2.823392741,-5.366050272,0.078729725,1.457933108,-7.103186704,-4.385484817,-6.892237708,-3.20829812,-8.221829512,7.123187979,1.428430615,1.434586561,5.219475075,-6.930000435,9.117706068,-5.824891322,1.260163307
9,Argentina,AR,ARG,0.008578276,-5.755146085,2.591671219,-3.484591273,1.258816975,3.437443573,-1.490514555,-5.834423147,5.967220227,4.950454891,7.341029851,-9.233081339,6.080965143,0.675840776,-8.104113522,-4.435459372,-3.178628668,9.706367701,-7.722905027,6.009185801,4.757858821,-7.560068457,2.844939986,6.505028566,5.173951771,-7.821073512,6.786416226,-2.464384325,8.339679324,7.624333983,3.716799133,7.159556921,-6.433395177,3.598674094,5.082692076,7.400708709,5.09983178,4.25291866,-3.492441555,-2.824312603,7.762074033,1.270710977,-9.51271007,4.122473039,0.371662808,-2.59414535,-9.208273509,-2.833134321,-0.791596659,-9.069875881,7.668813097,-6.53901114,5.542920332,-3.103846574,-8.24919302,-7.743587135,0.742882733,-1.938683835,-6.259887117,6.360395548,-1.685072056,-6.635302606
10,"Armenia, Rep. of",AM,ARM,0.071316139,4.478472528,-1.603870435,-6.531880935,-7.238940503,-9.622935464,5.425018174,8.250773985,1.96579603,-5.977289722,8.988679394,8.820678838,8.998609704,-1.883626706,7.890738125,-9.671247622,1.727397126,8.394658246,-7.785214661,-1.793630029,5.391645813,8.673247635,-9.190710813,2.163405085,-5.022991182,3.849427652,-2.723418963,4.605521425,-1.26307452,-0.82758125,-4.184714441,-2.388824845,-1.166802036,-5.407906633,3.267119605,-1.654454704,9.939275602,2.880197885,-8.581068416,-7.640932517,3.406673557,2.80336305,-8.655040204,0.281279198,-7.489637252,5.960905788,6.286300497,-5.823391414,-4.298506106,3.700112544,-4.10310817,-7.499365909,-8.194156204,8.494361192,-9.694128165,-5.932646398,7.827148351,-2.209737192,-9.211074173,6.544220665,-8.999345053,-1.660146051
11,"Aruba, Kingdom of the Netherlands",AW,ABW,2.793840136,6.340409907,7.270731929,-4.624257572,-8.270926512,-0.911731189,6.362676659,-0.176133689,-7.102843917,-9.695560775,-3.785199826,2.931060287,-9.504729365,-0.391673133,-2.391298549,-6.525313689,1.09327137,7.208277148,1.648778615,6.516093873,-9.307539439,7.246816557,-1.830576812,-4.578495496,8.794552425,-2.629968294,5.439623731,-2.259423634,-9.025802002,-7.604045075,9.074179644,-9.808404029,0.314847587,7.792238668,-4.909032275,7.957685961,8.699140619,-4.949752398,1.791945261,9.1288061,0.489537752,7.389983508,-1.482972178,5.456425927,-5.009868071,0.615736332,-3.145028623,8.100833203,5.326134246,2.925623728,9.77357838,-6.732956531,0.258444923,5.12102616,-0.907489917,-2.583548525,-2.143395445,2.09838937,7.363777387,-6.962495038,-2.12949264,0.947484735
12,Australia,AU,AUS,7.280486898,-2.623091451,-6.334208441,0.014219975,-8.796129451,-2.185187701,7.951067474,6.12365347,-4.104553339,4.413355855,7.175891435,-3.499816608,9.957278773,-9.775863673,-5.804127955,-7.136760552,1.039128818,4.029200723,1.708378473,5.213356717,4.705730621,-8.710634808,-4.609948371,3.692387113,-0.305427786,1.918556038,-5.474668471,6.190883671,0.819844072,-8.719128625,5.555207013,-7.811060981,7.169462642,-0.499984086,-6.808143731,-4.839714751,4.404107249,6.474054282,2.567658499,4.136797715,7.108749015,-7.302297446,-7.440630812,-3.446998201,2.218022917,7.54807663,4.881471953,7.787719656,-4.507631518,-8.779038585,-6.061761335,-4.404217998,-1.509314411,-7.969438827,-3.706398773,5.507180898,0.113716514,-6.732073289,8.611436172,4.703968495,-1.612824727,6.457212051
13,Austria,AT,AUT,-6.194932808,-8.033935718,7.28645254,2.328404452,-7.090015415,4.696149256,-2.561626573,4.81382462,-0.30235459,9.077262923,8.606085287,-1.055515401,4.598851166,7.035057496,4.535473475,4.626772764,-6.656314382,5.745250254,-1.374485497,9.496788121,2.529535757,-8.712107698,1.278868563,-1.369588799,-3.298792575,-4.161435088,5.252760904,5.683296833,3.361833978,6.435748191,-1.149107559,8.847202729,-3.330392304,0.487883063,-5.037696775,7.215446583,9.131960744,2.128044224,-4.953909105,-2.215151701,6.087356202,0.514941044,-0.101722426,3.104015792,8.943916495,6.157190107,-6.944864517,-1.679301117,0.238302012,-4.872169903,7.444611127,-6.609734208,-9.158948765,5.943210736,-5.277257482,-6.627529305,-8.277264655,4.896343034,4.839884458,-8.752851384,-5.551905774,2.709517506
14,"Azerbaijan, Rep. of",AZ,AZE,-6.749289093,1.548921091,-3.430140193,2.987390877,-8.872514621,-7.241356537,1.393607898,5.445260205,6.373876414,4.833288969,4.720108324,-8.179669639,-9.235798267,-5.836859853,5.658086211,9.608675398,4.957276068,-6.201569062,-4.038099604,-1.543337334,9.378378124,-7.984626212,-6.341769979,-9.991355621,-3.943934598,1.795279142,-8.000335605,-1.292338857,2.9698174,-1.197180241,-6.606857362,3.357960581,8.863343161,-1.630702453,2.553291105,-9.548185171,3.599941656,-1.997500966,5.660068129,5.577975143,7.902883071,-9.629439049,-2.198438025,-2.434822588,-5.872007484,-4.353650733,4.445244166,9.391232004,5.995124366,6.056613832,1.547219795,3.848412906,9.275638122,2.644259868,7.399269982,5.296387842,9.206202894,-5.150580201,-3.202084254,0.469689728,3.262526079,-8.70572376
15,"Bahamas, The",BS,BHS,4.6066882,5.40927127,5.459528034,5.336688886,7.617565548,2.770846688,4.749505849,-7.729557136,-3.54321328,-5.33118523,-2.433163242,-5.101427002,-5.443101407,9.249016671,-1.214633586,4.167048683,8.817615633,2.593609253,-4.930864633,9.182903912,0.389077186,-0.094624522,-4.816878495,7.121544359,-6.947025731,-7.926063846,-7.703839532,-7.926014568,-5.861512966,1.188791918,8.582146294,9.283015409,4.742266613,-3.325681305,1.944442625,8.456531192,7.287432529,-4.851831311,1.740229559,7.13319164,0.178337654,-2.031929882,-3.310564361,7.549568208,3.330336784,-6.093147519,5.385747739,4.202846752,6.775395474,-1.034914252,-3.517115778,4.148827922,-5.227715489,7.05471894,4.93271075,-4.554097657,9.040843961,-0.066900388,-7.438970532,-6.051983218,-3.543118777,-7.341476912
16,"Bahrain, Kingdom of",BH,BHR,-2.853928918,1.098276428,9.117709144,-3.093657425,-5.540160676,8.49391485,5.704393052,9.006063302,2.15713771,8.731648811,2.485649523,7.674160499,3.603799836,7.152349516,-7.094147013,1.033233316,-6.563942524,4.54155601,-8.718206323,-1.514606234,-4.623889104,3.149859405,6.801283712,9.970268574,2.568593534,-8.347730389,-1.311056156,-4.914077455,5.352532347,-0.456870822,-1.836403879,1.232143623,0.111357544,2.706162841,-0.789054988,-4.40771028,-9.35258682,-5.90896969,-7.942167122,5.299981815,9.984895246,-6.70332646,2.505871796,2.61100639,-9.013842448,5.131484502,-6.402216846,1.85404146,-6.422561175,7.528458412,6.209851384,0.655447284,-8.137110612,9.163811439,4.006154556,-7.478211847,-7.108927352,2.547297683,-2.608298502,-2.774917139,0.117668312,-0.7038195
17,Bangladesh,BD,BGD,-5.032862367,3.638767064,-1.542196013,2.38642631,-1.50504376,0.1386059,-0.384502795,5.663182296,9.373603914,4.478440893,-3.157398842,-2.061090073,0.473333251,0.37151372,-0.340125629,4.772053545,-0.31257284,3.997995366,3.903414614,8.312236694,-6.727857377,-5.110938487,4.008309404,5.737377919,-0.422408251,2.390523094,-6.052978848,6.091807809,6.527839992,-5.958988148,1.346106617,-9.895775595,2.615188506,5.002165867,-3.713887641,9.985485729,2.735124502,3.920396196,2.650481827,9.333459397,-3.919284124,4.491260685,9.57193231,-8.41612642,-7.564806445,2.160359815,7.364120819,6.733347519,-0.854080323,-2.727646787,-7.318584148,0.033327431,4.102555413,5.266628253,-7.665806078,6.133148204,-4.409038857,0.890746545,0.655509522,-5.098932423,5.730367968,6.916199472
18,Barbados,BB,BRB,-2.195889744,-7.148145627,-5.538672676,-4.560789812,0.436986173,0.275923787,4.882197538,7.555095743,0.532258129,4.952788213,1.722555419,-4.789039044,-6.509184926,-4.148295089,3.558076386,-8.299358985,4.614943452,8.217856523,1.237649382,9.170308736,5.041958877,8.241475026,-0.57665111,-6.992148781,-0.603756533,7.866069345,7.839297379,-7.438936831,2.550238037,-2.36498844,-2.678209467,-7.698133921,-6.486666798,7.372870161,8.037258144,8.984002684,1.997006244,-0.420034662,-0.704559034,-0.390620538,8.296153897,8.669916811,-4.696154413,-4.404299704,-4.549986048,-8.806654688,4.765196361,4.379084675,-8.737396833,-5.799672316,-3.524675598,-5.978443078,7.064874036,-6.450008466,2.550528807,5.684366711,0.93734033,6.199157044,-2.055270484,9.546460786,-6.927716032,2.206772806
19,"Belarus, Rep. of",BY,BLR,-5.541791481,1.697814666,-8.667378072,-8.138997308,-0.374177717,2.923468928,2.027496734,1.926290724,2.851175472,-8.652029002,4.143830674,-3.585177053,-9.954630508,0.915176458,5.913381752,-2.351655446,9.262469874,9.96555877,6.29273808,3.24801216,-2.84362073,-7.657241361,1.921427467,-2.553101508,7.049321752,6.7903152,0.841460727,-3.026487181,-5.673053073,2.959270808,-0.661309133,7.132829049,-5.525475767,0.427323618,-0.206495924,5.20233436,-9.792993038,2.220752163,5.924174191,0.840188165,-0.047911929,5.363830177,1.192649097,8.692989685,9.017771748,3.224796042,4.852725885,7.547919071,0.391040743,-3.332837834,0.423301981,0.868326204,3.157572572,1.952383694,-8.144382116,9.466091628,3.819669413,2.642130431,3.532369432,-0.237064666,-3.006436329,6.679800446
20,Belgium,BE,BEL,-8.344904445,6.835864479,6.588714186,5.953469144,5.337544403,2.429568085,0.218648792,-3.318939261,9.227312915,-1.419211941,-5.437910582,-9.016137617,-3.067261392,7.721299911,5.032972125,-7.550729096,-4.514690962,5.194188333,-2.459806942,0.564021132,4.049451941,6.496309595,-1.689308701,9.636983415,-1.273996567,1.935739743,8.885164871,-7.869509659,-7.82663396,-9.092605825,-8.51621486,4.109693981,1.347697189,-6.338608079,9.922356375,6.743401884,2.234174494,-2.719216322,-3.445568937,1.01951045,2.167908911,8.144305634,9.388411067,2.653286208,0.166715897,-7.53505465,-8.903554205,2.993962215,0.398575862,2.945930529,-9.102170686,-2.353083986,8.546595258,7.560019545,1.49685239,-7.382042973,8.422815657,5.720039497,-0.437743921,-4.65476591,8.280427161,7.904585694
21,Belize,BZ,BLZ,-5.90265539,-6.45149592,-7.138788135,3.438485004,-8.869388734,0.899225741,4.779931098,7.553813492,-4.92648526,1.645035222,-6.536357004,8.825001041,-6.176714977,-0.781979012,-7.30535093,-8.186758338,-3.940681306,6.333731676,5.983697133,2.547118421,1.886447826,-6.73247556,-6.709432533,-9.840003956,3.088420748,4.047191733,4.401968638,1.531192235,-6.858347598,-0.839412858,-4.429949068,-2.617950635,-9.173279199,6.164235958,-3.716937987,-3.216946543,-9.063722607,0.349129434,5.479619017,-0.770645137,-6.099650834,-1.502932832,-6.275944176,-6.438438061,0.155762512,7.074095393,9.546894255,2.0361963,-1.718407896,-1.468081621,1.85676911,-9.180839744,-9.610648477,-5.561003325,2.40632869,-6.832864985,1.064698565,-6.31603417,-9.66417681,-3.172466878,-1.220733128,-2.997791114
